hotel_name,rating_food,food_type,location,offer,rating,delivery_time_mins,primary_food,discount_percent,offer_amount_rs,offer_type,has_offer
Starboy Pizza & Shakes,4 • 42 mins,"Pizzas, Italian, Desserts, Beverages",Borivali West, ₹175 OFF ABOVE ₹449,,42.0,pizzas,0.0,175.0,ABOVE,Yes
SLAY Coffee,4.2 • 55 mins,"Cafe, Beverages, Desserts, Snacks, Pastas",Goregaon, ₹100 OFF ABOVE ₹399,4.2,55.0,cafe,0.0,100.0,ABOVE,Yes
The Sugar Free Keto Kafe - Artinci,4.4 • 45 mins,"Ice Cream, Keto, Healthy Food, Sweets, Bakery, Desserts, Snacks",Malad West, ₹175 OFF ABOVE ₹449,4.4,45.0,ice cream,0.0,175.0,ABOVE,Yes
Cake Walk,3 • 46 mins,"Indian, Bakery, Waffle, Desserts",Malad Kan West, ,,46.0,indian,0.0,0.0,NONE,Yes
Akkad Bakkad Bombay Boo - AB3,4.5 • 33 mins,"Snacks, Fast Food, Pizzas",Kandivali East, ₹175 OFF ABOVE ₹449,4.5,33.0,snacks,0.0,175.0,ABOVE,Yes
The Wafflemeister,4.4 • 32 mins,"Desserts, Beverages, Sweets, Ice Cream",Kandivali East, 40% OFF UPTO ₹80,4.4,32.0,desserts,40.0,80.0,UPTO,Yes
Sanjay Pure Veg,4.3 • 29 mins,"Indian, South Indian",Borivali East, ,4.3,29.0,indian,0.0,0.0,NONE,Yes
Su-Veg,4.4 • 39 mins,"North Indian, Chinese, South Indian, Biryani, Snacks, Beverages",Borivali East, 30% OFF UPTO ₹75,4.4,39.0,north indian,30.0,75.0,UPTO,Yes
"Harsh Thali and Parathas - Mom Makes, Son Sells",4.5 • 39 mins,"North Indian, Thalis, Gujarati, Rajasthani, Jain, Chinese",Kandivali East, 20% OFF UPTO ₹50,4.5,39.0,north indian,20.0,50.0,UPTO,Yes
Monopoly,4.2 • 37 mins,"Italian, Mexican, Continental, Juices, Pizzas, Snacks, Pastas, Beverages",Borivali West, ,4.2,37.0,italian,0.0,0.0,NONE,Yes
Hotel Sarvoday,3.1 • 34 mins,Chinese,Malad East, 40% OFF UPTO ₹200,3.1,34.0,chinese,40.0,200.0,UPTO,Yes
Maa Anjani Pav Bhaji Centre,4.4 • 32 mins,Chinese,Borivali West, ,4.4,32.0,chinese,0.0,0.0,NONE,Yes
Maharashtra Biryani center,3.9 • 28 mins,Biryani,Kandivali East, ,3.9,28.0,biryani,0.0,0.0,NONE,Yes
Jain Dughdalay,4.4 • 22 mins,Sweets,Borivali West, 10% OFF ABOVE ₹700,4.4,22.0,sweets,10.0,700.0,ABOVE,Yes
69 Dackers Lane,3.8 • 27 mins,"Bengali, Biryani",Malad East, 50% OFF UPTO ₹100,3.8,27.0,bengali,50.0,100.0,UPTO,Yes
Madras Talkies,3.6 • 19 mins,"South Indian, Beverages",Malad East, ₹50 OFF ABOVE ₹499,3.6,19.0,south indian,0.0,50.0,ABOVE,Yes
Rama's Sweets & Snacks,4.3 • 12 mins,"Sweets, Snacks",Malad East, 10% OFF UPTO ₹40,4.3,12.0,sweets,10.0,40.0,UPTO,Yes
Malvan Kinara,4.2 • 43 mins,"Indian, Chinese",Akurli Road, 10% OFF ABOVE ₹1500,4.2,43.0,indian,10.0,1500.0,ABOVE,Yes
Oye Bihari - Real Taste of Bihar,4 • 34 mins,"Indian, Seafood",Kandivali East, 50% OFF UPTO ₹100,,34.0,indian,50.0,100.0,UPTO,Yes
DonBuri,3.8 • 45 mins,"Continental, Chinese, Oriental, Asian, Healthy Food, Fast Food, Indian, Desserts",Goregaon, EVERY ITEM @ ₹129,3.8,45.0,continental,0.0,129.0,ITEM_BASED,Yes
Khichdi Express,4.2 • 55 mins,"Indian, North Indian, Home Food, Healthy Food, Snacks, Juices, Beverages",Malad West, ,4.2,55.0,indian,0.0,0.0,NONE,Yes
Keventers Ice Cream,4.1 • 55 mins,"Ice Cream, Desserts",Malad West, ₹125 OFF ABOVE ₹399,4.1,55.0,ice cream,0.0,125.0,ABOVE,Yes
ENSO - Sourdough Pizza by Nomad,4.6 • 53 mins,"Pizzas, Fast Food, Desserts, Salads, Beverages",Malad Kan West, ₹175 OFF ABOVE ₹999,4.6,53.0,pizzas,0.0,175.0,ABOVE,Yes
Cafe Delhi Heights,4 • 66 mins,"Italian, American, Indian",Malad West, ₹150 OFF ABOVE ₹399,,66.0,italian,0.0,150.0,ABOVE,Yes
Raja Chinese & Tandoor Corner,3.9 • 36 mins,"Chinese, Barbecue",Kandivali West, ₹100 OFF ABOVE ₹999,3.9,36.0,chinese,0.0,100.0,ABOVE,Yes
Su - Swagat,4.2 • 31 mins,"North Indian, Chinese, Tandoor, Beverages, Ice Cream, South Indian",Borivali West, ,4.2,31.0,north indian,0.0,0.0,NONE,Yes
Grand Maratha,4.4 • 39 mins,"North Indian, Chinese, Malwani",Borivali East, ,4.4,39.0,north indian,0.0,0.0,NONE,Yes
Hotel Shree Ramdev,4.4 • 27 mins,"South Indian, Punjabi, Indian, Tandoor, Biryani, Chinese",Dahisar, ,4.4,27.0,south indian,0.0,0.0,NONE,Yes
Dwaraka,4.6 • 32 mins,"South Indian, Indian, Chinese, North Indian, Italian",Borivali West, ,4.6,32.0,south indian,0.0,0.0,NONE,Yes
Paratha Zone,4.5 • 28 mins,"North Indian, Snacks, Biryani",BORIVALI, ,4.5,28.0,north indian,0.0,0.0,NONE,Yes
THE CAKE POINT,34 mins,Bakery,Borivali West, ,,34.0,bakery,0.0,0.0,NONE,Yes
Agrawal Sweets,3.8 • 27 mins,"North Indian, Snacks",Borivali East, ₹150 OFF ABOVE ₹599,3.8,27.0,north indian,0.0,150.0,ABOVE,Yes
Kathiyawadi Bhog,4.3 • 39 mins,Indian,Borivali West, ,4.3,39.0,indian,0.0,0.0,NONE,Yes
SHREE RAM SWEETS AND FARSAN,4.6 • 29 mins,"Sweets, Snacks",Borivali West, ,4.6,29.0,sweets,0.0,0.0,NONE,Yes
Bhaskar's Puranpoli Ghar,4.4 • 38 mins,"Maharashtrian, Gujarati, Mangalorean",Malad Kan West, ,4.4,38.0,maharashtrian,0.0,0.0,NONE,Yes
Chaap Theka,4.3 • 38 mins,"Biryani, Jain, Tandoor, North Indian",Borivali West, 10% OFF ABOVE ₹700,4.3,38.0,biryani,10.0,700.0,ABOVE,Yes
Biryani Barbeque Chinese (BBC),4.4 • 30 mins,"Biryani, Chinese, North Indian, Punjabi, Kebabs, Afghani",Borivali West, ,4.4,30.0,biryani,0.0,0.0,NONE,Yes
Damru Paan Shop,4.7 • 25 mins,Paan,Borivali West, ,4.7,25.0,paan,0.0,0.0,NONE,Yes
Nandu Dosa Dinner,4.3 • 34 mins,South Indian,Borivali West, ,4.3,34.0,south indian,0.0,0.0,NONE,Yes
Nagpal Choley Bhature,4.2 • 35 mins,"North Indian, Tandoor, Beverages, Desserts",Kandivali West, 10% OFF ABOVE ₹600,4.2,35.0,north indian,10.0,600.0,ABOVE,Yes
The Juice Junction,4.4 • 28 mins,"Juices, Beverages",Mahavir Nagar Kandivali West, ₹200 OFF ABOVE ₹999,4.4,28.0,juices,0.0,200.0,ABOVE,Yes
Nat Khat Pav Bhaji And Snacks Corner,3.4 • 51 mins,"North Indian, Fast Food, Snacks",Malad East, 60% OFF UPTO ₹120,3.4,51.0,north indian,60.0,120.0,UPTO,Yes
Mystic Lebanese,4.2 • 45 mins,"Arabian, Mediterranean, Lebanese, Turkish",Malad East, ₹125 OFF ABOVE ₹249,4.2,45.0,arabian,0.0,125.0,ABOVE,Yes
Amritsari Kulcha Junction (Pure Veg),4.1 • 46 mins,"North Indian, Chaat, Punjabi, Beverages",Borivali West, ₹100 OFF ABOVE ₹749,4.1,46.0,north indian,0.0,100.0,ABOVE,Yes
South Tiffin House Exclusive,4.2 • 42 mins,"South Indian, Street Food, Beverages, Snacks",Kandivali West, ₹175 OFF ABOVE ₹449,4.2,42.0,south indian,0.0,175.0,ABOVE,Yes
Lata Restaurant,4.4 • 40 mins,"Indian, Chinese, Mughlai, Biryani, North Indian",Kandivali West, 15% OFF UPTO ₹80,4.4,40.0,indian,15.0,80.0,UPTO,Yes
Sandeep Pure Veg,4.5 • 42 mins,"South Indian, North Indian, Chinese, Street Food",Railway Station, ,4.5,42.0,south indian,0.0,0.0,NONE,Yes
Sannidhi Family Restaurant (Kandivali Station),4.5 • 47 mins,"Mughlai, North Indian, Chinese, South Indian, Indian, Salads, Desserts, Snacks, Beverages",Kandivali West, ₹100 OFF ABOVE ₹749,4.5,47.0,mughlai,0.0,100.0,ABOVE,Yes
Pangat (Dahisar East),4.4 • 44 mins,"Konkan, Chinese, Tandoor, Indian",Dahisar, ,4.4,44.0,konkan,0.0,0.0,NONE,Yes
Akkad Bakkad Bombay Boom (Mahavir Nagar),4.2 • 44 mins,"Snacks, Italian",Kandivali West, ₹100 OFF ABOVE ₹999,4.2,44.0,snacks,0.0,100.0,ABOVE,Yes
Ganesh Snack & Juice Corner,4.3 • 33 mins,"Fast Food, Chaat",Malad East, 30% OFF UPTO ₹75,4.3,33.0,fast food,30.0,75.0,UPTO,Yes
Sonu's Chinese Corner,4.2 • 35 mins,"Chinese, North Indian",Borivali East, ,4.2,35.0,chinese,0.0,0.0,NONE,Yes
Radha Restaurant,4.5 • 35 mins,"South Indian, Chinese, Snacks, Indian, Beverages, Pizzas",Borivali West, ,4.5,35.0,south indian,0.0,0.0,NONE,Yes
Sanjay Icecreams,4.5 • 24 mins,"Ice Cream, Desserts",Malad East, ,4.5,24.0,ice cream,0.0,0.0,NONE,Yes
Raisins Chocolatier And Patisserie,3.3 • 27 mins,Desserts,Borivali West, 15% OFF UPTO ₹100,3.3,27.0,desserts,15.0,100.0,UPTO,Yes
Fisco Restobar,4.5 • 37 mins,"Indian, Chinese, Italian, Mexican",Kandivali West, ₹175 OFF ABOVE ₹449,4.5,37.0,indian,0.0,175.0,ABOVE,Yes
Pizza Story,4.6 • 33 mins,"Pizzas, Burgers, Desserts, Chinese, Pastas, Italian",Kandivali East, 50% OFF UPTO ₹100,4.6,33.0,pizzas,50.0,100.0,UPTO,Yes
Taste Of Kolkata,4.2 • 31 mins,"Indian, Chinese, Bengali",Kandivali East, 10% OFF UPTO ₹40,4.2,31.0,indian,10.0,40.0,UPTO,Yes
Sizzling Spices,4.4 • 27 mins,"Chinese, Thai, Asian, Indonesian, Seafood, Beverages",Kandivali East, 20% OFF UPTO ₹50,4.4,27.0,chinese,20.0,50.0,UPTO,Yes
Times Of Paratha,40 mins,"Indian, Snacks",Kandivali East, 50% OFF UPTO ₹100,,40.0,indian,50.0,100.0,UPTO,Yes
Malvani Swaad (Sushama's Kitchen),4 • 37 mins,"Malwani, Seafood, Indian, North Indian, Biryani, Salads, Beverages, Thalis",Kandivali East, ₹125 OFF ABOVE ₹249,,37.0,malwani,0.0,125.0,ABOVE,Yes
2 Delicious Poha House,4 • 16 mins,"Indian, Snacks",Malad East, 10% OFF UPTO ₹40,,16.0,indian,10.0,40.0,UPTO,Yes
New Kulfi Center,4.6 • 26 mins,Ice Cream,Malad Kan West, ,4.6,26.0,ice cream,0.0,0.0,NONE,Yes
Swastik Fast Food (Franky),4.2 • 33 mins,Fast Food,Borivali West, ,4.2,33.0,fast food,0.0,0.0,NONE,Yes
A Taste Of India,4.4 • 40 mins,"Indian, Chinese, Mughlai, North Indian",Kandivali East, 40% OFF UPTO ₹80,4.4,40.0,indian,40.0,80.0,UPTO,Yes
Crave Junction,4 • 34 mins,"Italian, Chinese, Pizzas, Beverages",Kandivali West, ,,34.0,italian,0.0,0.0,NONE,Yes
Uk14,4.5 • 26 mins,"Beverages, Ice Cream",Kandivali West, ,4.5,26.0,beverages,0.0,0.0,NONE,Yes
Jain Sweets,4.3 • 36 mins,"Street Food, Maharashtrian",Dattani Centre, 15% OFF UPTO ₹80,4.3,36.0,street food,15.0,80.0,UPTO,Yes
UFO Fries & Corn,4.1 • 34 mins,North Indian,Kandivali West, ₹100 OFF ABOVE ₹999,4.1,34.0,north indian,0.0,100.0,ABOVE,Yes
Wtc Pasta,3.9 • 40 mins,"Italian, Snacks, Grill, Beverages, Pizzas, Pastas",Borivali West, ,3.9,40.0,italian,0.0,0.0,NONE,Yes
UBQ BY Barbeque Nation,4 • 40 mins,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",Kandivali East, 40% OFF UPTO ₹80,,40.0,north indian,40.0,80.0,UPTO,Yes
Food Costa,3.9 • 23 mins,"Fast Food, Pizzas, Biryani, Mexican, Snacks, Beverages, Burgers","Kandivali (East), Thakur Village", 20% OFF UPTO ₹50,3.9,23.0,fast food,20.0,50.0,UPTO,Yes
Five Star,4.5 • 23 mins,"Fast Food, Burgers, Snacks",Malad East, ,4.5,23.0,fast food,0.0,0.0,NONE,Yes
Arihant Dugdhalay,4.4 • 25 mins,"Desserts, Sweets",Borivali West, ,4.4,25.0,desserts,0.0,0.0,NONE,Yes
Al Arabian Shawarma,2.7 • 25 mins,"Arabian, Lebanese, Kebabs, Salads, Beverages, Middle Eastern",Kandivali East, ,2.7,25.0,arabian,0.0,0.0,NONE,Yes
Bombay Sultaani Biryani House,4 • 31 mins,"Indian, Biryani",Malad East, 60% OFF UPTO ₹120,,31.0,indian,60.0,120.0,UPTO,Yes
East Asia - Indian | Asian | Continental,4.2 • 42 mins,"Chinese, Italian, Thai, Asian, Indian, Tandoor, Continental, Sushi, Pizzas, Salads",Borivali West, ,4.2,42.0,chinese,0.0,0.0,NONE,Yes
Joey's Pizzeria-Kandivali (E),3.7 • 44 mins,"Pizzas, Chinese, Desserts, Burgers, Pastas, Italian",Kandivali East, 50% OFF UPTO ₹100,3.7,44.0,pizzas,50.0,100.0,UPTO,Yes
The Chocolate Heaven,4.1 • 34 mins,"Desserts, Italian, Snacks",Borivali West, ₹175 OFF ABOVE ₹449,4.1,34.0,desserts,0.0,175.0,ABOVE,Yes
Pavbhaji Bistro,4.3 • 29 mins,"Indian, Fast Food",Kandivali East, ,4.3,29.0,indian,0.0,0.0,NONE,Yes
New Wanton Point,4.4 • 24 mins,"Indian, Chinese",Kandivali East, 40% OFF UPTO ₹80,4.4,24.0,indian,40.0,80.0,UPTO,Yes
Delicacy Of Mewar,3.8 • 41 mins,Snacks,Malad East, 10% OFF ABOVE ₹1000,3.8,41.0,snacks,10.0,1000.0,ABOVE,Yes
Ek Bihari - The Bihar Diaries,3.7 • 35 mins,"Indian, Seafood","Kandivali East, Thakur Village", 50% OFF UPTO ₹100,3.7,35.0,indian,50.0,100.0,UPTO,Yes
Yamu's Panchayat,4.9 • 16 mins,Paan,Malad East, ,4.9,16.0,paan,0.0,0.0,NONE,Yes
Vividh NX,4.4 • 35 mins,"Chinese, Oriental, Indian",Kandivali East, 10% OFF UPTO ₹40,4.4,35.0,chinese,10.0,40.0,UPTO,Yes
Kumar's Cafe,3.2 • 26 mins,"Beverages, South Indian",Borivali West, ,3.2,26.0,beverages,0.0,0.0,NONE,Yes
Makhani Darbar,23 mins,"North Indian, Kebabs, Mughlai, Beverages, Desserts",Thakur Village, 50% OFF UPTO ₹100,,23.0,north indian,50.0,100.0,UPTO,Yes
Baskin Robbins Happyness Shakes,3.8 • 27 mins,"Beverages, Desserts",Kandivali East, 30% OFF UPTO ₹75,3.8,27.0,beverages,30.0,75.0,UPTO,Yes
Pizza Town,3.9 • 27 mins,"Pizzas, Beverages, Italian",Malad East, 30% OFF UPTO ₹75,3.9,27.0,pizzas,30.0,75.0,UPTO,Yes
Jugheads,4.2 • 30 mins,"Continental, Chinese, North Indian, American",Kandivali East, 10% OFF UPTO ₹40,4.2,30.0,continental,10.0,40.0,UPTO,Yes
Mahakali Fast Food & Juice Centre,4.4 • 33 mins,"Indian, South Indian, Beverages, Awadhi",Borivali West, 10% OFF ABOVE ₹600,4.4,33.0,indian,10.0,600.0,ABOVE,Yes
Aakash,3.9 • 29 mins,"Desserts, Snacks",Kandivali West, ,3.9,29.0,desserts,0.0,0.0,NONE,Yes
Gupta Bhelpuri House,4.2 • 41 mins,"Snacks, Chaat",Kandivali West, ,4.2,41.0,snacks,0.0,0.0,NONE,Yes
Gaonthan The Family Restaurant,4.3 • 36 mins,"North Indian, Chinese, Biryani",Malad East, 15% OFF UPTO ₹45,4.3,36.0,north indian,15.0,45.0,UPTO,Yes
The Avenue,4.5 • 33 mins,"North Indian, Chinese, Tandoor, Indian, Seafood",Malad East, ,4.5,33.0,north indian,0.0,0.0,NONE,Yes
Souffle Cake Shop,3.8 • 25 mins,Bakery,Borivali West, 10% OFF ABOVE ₹700,3.8,25.0,bakery,10.0,700.0,ABOVE,Yes
Spring Fields,4.5 • 40 mins,"North Indian, Chinese, Italian",Borivali West, 30% OFF UPTO ₹75,4.5,40.0,north indian,30.0,75.0,UPTO,Yes
Sheetal Dugdhalay,4.7 • 33 mins,Sweets,Malad East, ,4.7,33.0,sweets,0.0,0.0,NONE,Yes
WA! Wok (Delicious Chinese),4.3 • 39 mins,"Chinese, Oriental, Asian, Burmese, Thai",Dahisar, ,4.3,39.0,chinese,0.0,0.0,NONE,Yes
One Minute chai Nashta,4.5 • 27 mins,"Bengali, Snacks, Street Food",Borivali West, ,4.5,27.0,bengali,0.0,0.0,NONE,Yes
Kuku's,4.2 • 33 mins,Chinese,Borivali West, ₹100 OFF ABOVE ₹999,4.2,33.0,chinese,0.0,100.0,ABOVE,Yes
RTC - Rolls And Fried Chicken,4.2 • 38 mins,"Snacks, Fast Food, North Indian, Street Food",Dahisar West, ₹175 OFF ABOVE ₹449,4.2,38.0,snacks,0.0,175.0,ABOVE,Yes
Biryani Barbeque Chinese (BBC-Babhai Naka),4.5 • 35 mins,"Biryani, Chinese, North Indian, Punjabi, Kebabs, Afghani",Borivali West, ,4.5,35.0,biryani,0.0,0.0,NONE,Yes
Gokul Anand,4.5 • 33 mins,"North Indian, Chinese, Beverages, South Indian",Borivali West, ,4.5,33.0,north indian,0.0,0.0,NONE,Yes
Tuba Restaurant,4.1 • 39 mins,"Chinese, North Indian, Biryani, Indian, Sweets, Salads, Snacks",Malad East, ₹150 OFF ABOVE ₹499,4.1,39.0,chinese,0.0,150.0,ABOVE,Yes
The Veg Treat Express,4.5 • 36 mins,"North Indian, Indian, Chinese, Italian, Mexican, Desserts",Borivali West, 10% OFF ABOVE ₹1000,4.5,36.0,north indian,10.0,1000.0,ABOVE,Yes
Pushti Tushti,4.4 • 38 mins,Indian,Borivali West, ₹175 OFF ABOVE ₹449,4.4,38.0,indian,0.0,175.0,ABOVE,Yes
MM Mithaiwala.,4.3 • 39 mins,"Sweets, Snacks, Bengali",Malad East, ₹175 OFF ABOVE ₹449,4.3,39.0,sweets,0.0,175.0,ABOVE,Yes
Anhad Misal,4.1 • 38 mins,"Snacks, North Indian",Borivali West, ₹100 OFF ABOVE ₹499,4.1,38.0,snacks,0.0,100.0,ABOVE,Yes
Classic Pure Veg,4.4 • 38 mins,"North Indian, Chinese",Dahisar East, 10% OFF ABOVE ₹1500,4.4,38.0,north indian,10.0,1500.0,ABOVE,Yes
SNS Mexican Shack,4.4 • 59 mins,"Mexican, Salads, Burgers, Tex-Mex, Beverages, Fast Food",Malad Kan West, ₹100 OFF ABOVE ₹999,4.4,59.0,mexican,0.0,100.0,ABOVE,Yes
Stacks And Racks,4.6 • 56 mins,American,Malad Kan West, ,4.6,56.0,american,0.0,0.0,NONE,Yes
Marathi Mejwani,4.3 • 43 mins,"Indian, South Indian, Seafood",Dahisar, ,4.3,43.0,indian,0.0,0.0,NONE,Yes
Gupta Bhelpuri And Sandwich Corner,4.2 • 41 mins,Fast Food,Borivali West, ,4.2,41.0,fast food,0.0,0.0,NONE,Yes
Sanata Snacks,4.3 • 46 mins,"Maharashtrian, Snacks, Beverages",Dahisar West, ,4.3,46.0,maharashtrian,0.0,0.0,NONE,Yes
Mm Mithaiwala Fast Food,4.4 • 44 mins,"Fast Food, South Indian, Indian, Snacks, Beverages",Malad Kan West, 15% OFF ABOVE ₹800,4.4,44.0,fast food,15.0,800.0,ABOVE,Yes
Hotel Gopal Krishna,4.5 • 46 mins,South Indian,Malad Kan West, ₹100 OFF ABOVE ₹999,4.5,46.0,south indian,0.0,100.0,ABOVE,Yes
Satkar Rice Plate House,4.6 • 53 mins,"Maharashtrian, Malwani, Seafood, Biryani",Goregaon East, 10% OFF ABOVE ₹1500,4.6,53.0,maharashtrian,10.0,1500.0,ABOVE,Yes
Cafe Shalimar,3.9 • 44 mins,"North Indian, Biryani, Desserts, Beverages",Malad, ₹100 OFF ABOVE ₹599,3.9,44.0,north indian,0.0,100.0,ABOVE,Yes
Arabian Shawarma Cafe,4.2 • 43 mins,"Arabian, Lebanese, Snacks",Borivali West, ₹250 OFF ABOVE ₹999,4.2,43.0,arabian,0.0,250.0,ABOVE,Yes
China Hunt,4.2 • 48 mins,"Chinese, North Indian, Tandoor",Malad East, 20% OFF UPTO ₹100,4.2,48.0,chinese,20.0,100.0,UPTO,Yes
Hotel Sai Palace Grand,4.5 • 58 mins,"North Indian, Chinese, Biryani, Desserts, Continental, Mangalorean, Seafood, Italian, Fast Food",Malad West, ,4.5,58.0,north indian,0.0,0.0,NONE,Yes
Khaas Paratha,4.4 • 45 mins,North Indian,Dahisar West, ,4.4,45.0,north indian,0.0,0.0,NONE,Yes
Nischita Nxt,4.4 • 51 mins,"Biryani, Chinese, North Indian, Seafood",Borivali West, ₹100 OFF ABOVE ₹999,4.4,51.0,biryani,0.0,100.0,ABOVE,Yes
Foodgerk - The Diet Parlour,4.3 • 52 mins,"Continental, Salads",Malad West, ₹150 OFF ABOVE ₹499,4.3,52.0,continental,0.0,150.0,ABOVE,Yes
Jay Prakash Bar & Restaurant,4.2 • 55 mins,"Indian, Chinese",Goregaon, ₹175 OFF ABOVE ₹449,4.2,55.0,indian,0.0,175.0,ABOVE,Yes
YUI,4.4 • 50 mins,"Asian, Japanese",Borivali West, ₹175 OFF ABOVE ₹999,4.4,50.0,asian,0.0,175.0,ABOVE,Yes
Sai Veg World Xpress,4 • 51 mins,"South Indian, North Indian",Malad Kan West, ₹175 OFF ABOVE ₹449,,51.0,south indian,0.0,175.0,ABOVE,Yes
Dessert Therapy,4.6 • 46 mins,"Cakes and Pastries, Desserts, Beverages, Bakery",Kandivali West, ,4.6,46.0,cakes and pastries,0.0,0.0,NONE,Yes
Sammy Sosa,4.4 • 57 mins,"Mexican, Asian",Malad West, ₹175 OFF ABOVE ₹899,4.4,57.0,mexican,0.0,175.0,ABOVE,Yes
Suka Sukhi,4.4 • 50 mins,"Maharashtrian, Malwani",Jog Gor East, ,4.4,50.0,maharashtrian,0.0,0.0,NONE,Yes
Queen Margherita's Pizzeria,4.3 • 61 mins,"Pizzas, Italian-American",Malad Kan West, ,4.3,61.0,pizzas,0.0,0.0,NONE,Yes
Curry and Combo Twist (Pure Veg),4.3 • 44 mins,Indian,Mum_Jog Gor East, ,4.3,44.0,indian,0.0,0.0,NONE,Yes
The Red Turtle - Pan Asian Bistro,4.4 • 57 mins,"Pan-Asian, Chinese, Thai, Japanese, Singaporean",Malad West, ,4.4,57.0,pan-asian,0.0,0.0,NONE,Yes
The Veg Treat Royal,4.5 • 42 mins,"North Indian, Indian, Chinese, Continental, South Indian",Borivali West, ,4.5,42.0,north indian,0.0,0.0,NONE,Yes
Mangoes,4.4 • 61 mins,"Mangalorean, Goan",Malad Kan West, ,4.4,61.0,mangalorean,0.0,0.0,NONE,Yes
Rangrezz Desi Restobar,4.4 • 43 mins,North Indian,Borivali West, ,4.4,43.0,north indian,0.0,0.0,NONE,Yes
Bansi Vadapav,4.2 • 41 mins,Fast Food,Malad West, ,4.2,41.0,fast food,0.0,0.0,NONE,Yes
Mumbaikar S Food House,4.3 • 61 mins,"Indian, Thalis",Malad Kan West, ,4.3,61.0,indian,0.0,0.0,NONE,Yes
Vivek Chinese corner,4.4 • 44 mins,Chinese,Borivali West, 10% OFF ABOVE ₹1300,4.4,44.0,chinese,10.0,1300.0,ABOVE,Yes
Pranayam (Pure Veg),4 • 47 mins,"North Indian, South Indian, Snacks",Borivali West, ₹125 OFF ABOVE ₹249,,47.0,north indian,0.0,125.0,ABOVE,Yes
Grab Some Momos Here,4.5 • 42 mins,"Tibetan, Chinese",Borivali West, ,4.5,42.0,tibetan,0.0,0.0,NONE,Yes
Peco Peco,4.4 • 48 mins,"Chinese, Asian, Thai",Malad West, ,4.4,48.0,chinese,0.0,0.0,NONE,Yes
Meetha By Radisson,4.6 • 54 mins,Desserts,Goregaon West, 10% OFF UPTO ₹40,4.6,54.0,desserts,10.0,40.0,UPTO,Yes
Rasodu - The Ethnic Kitchen,4.3 • 44 mins,"Indian, Thalis, Beverages",Malad Kan West, ,4.3,44.0,indian,0.0,0.0,NONE,Yes
Kake Da Hotel (Since 1931),4.2 • 53 mins,"North Indian, Tandoor, Punjabi",Jogeshwari West, 15% OFF ABOVE ₹800,4.2,53.0,north indian,15.0,800.0,ABOVE,Yes
# Thali,4.5 • 52 mins,"North Indian, Chinese",Borivali West, ₹175 OFF ABOVE ₹449,4.5,52.0,north indian,0.0,175.0,ABOVE,Yes
Sernyaa,4.5 • 56 mins,"Tibetan, Chinese",Ashok Enclave, 10% OFF ABOVE ₹900,4.5,56.0,tibetan,10.0,900.0,ABOVE,Yes
Udipi Vihar (pure veg) restaurant,4.4 • 50 mins,"Chinese, North Indian, South Indian, Tandoor, Biryani, Desserts",Jog Gor East, ,4.4,50.0,chinese,0.0,0.0,NONE,Yes
Shubh Sagar Restaurant,4.4 • 52 mins,"Chinese, North Indian, South Indian",Mira Road, ,4.4,52.0,chinese,0.0,0.0,NONE,Yes
Ruchi Veg Restaurant,4.1 • 46 mins,"South Indian, North Indian, Chinese, Tandoor, Biryani, Juices, Beverages, Mughlai, Home Food, Healthy Food, Italian, Mexican",Goregaon, 10% OFF ABOVE ₹900,4.1,46.0,south indian,10.0,900.0,ABOVE,Yes
Jango's,4.2 • 55 mins,"Chinese, North Indian, Biryani, Kebabs",Malad West, ₹100 OFF ABOVE ₹749,4.2,55.0,chinese,0.0,100.0,ABOVE,Yes
Konkan Chilly,4.3 • 56 mins,"Konkan, North Indian, Chinese, Tandoor, Malwani",Chincholi Bunder, 10% OFF ABOVE ₹1000,4.3,56.0,konkan,10.0,1000.0,ABOVE,Yes
Flavours Of China (Evershine Nagar),4.2 • 51 mins,Chinese,Malad Borivali Area, ₹100 OFF ABOVE ₹999,4.2,51.0,chinese,0.0,100.0,ABOVE,Yes
Landmark Kitchens,4.4 • 56 mins,"Indian, Snacks, Pizzas, Chinese",Goregaon, ,4.4,56.0,indian,0.0,0.0,NONE,Yes
"Desi Shack- Acha Khao, Acha Khilao- By om snacks",4.1 • 43 mins,"Indian, Fast Food, Snacks, Italian, Chinese, Beverages",Jog Gor East, ,4.1,43.0,indian,0.0,0.0,NONE,Yes
Malgudi - Veg & Non-Veg Family Restaurant,4.1 • 48 mins,"North Indian, Chinese, South Indian, Malwani",Borivali West, ₹175 OFF ABOVE ₹449,4.1,48.0,north indian,0.0,175.0,ABOVE,Yes
Shiv Sagar Malad,4.2 • 48 mins,"Indian, Chinese",Malad West, 10% OFF ABOVE ₹1200,4.2,48.0,indian,10.0,1200.0,ABOVE,Yes
Lalit Bakery,4.3 • 51 mins,"Bakery, Desserts, Italian",Borivali West, ,4.3,51.0,bakery,0.0,0.0,NONE,Yes
Namaskar The Family Restaurant,4.4 • 49 mins,"North Indian, Chinese, Maharashtrian, Biryani",Borivali East, ,4.4,49.0,north indian,0.0,0.0,NONE,Yes
Green Tadka,4.4 • 51 mins,Indian,Goregaon West, ,4.4,51.0,indian,0.0,0.0,NONE,Yes
