hotel_name,rating_food,food_type,location,offer,rating,delivery_time_mins,primary_food,discount_percent,offer_amount_rs,offer_type,has_offer
Chinese Katta,47 mins,"Chinese, Snacks",Dahisar, ₹200 OFF ABOVE ₹999,,47.0,chinese,0.0,200.0,ABOVE,Yes
Cake Culture,2.6 • 42 mins,Bakery,Borivali West, ,2.6,42.0,bakery,0.0,0.0,NONE,Yes
Phat Fork Chinese,4.5 • 55 mins,"Chinese, Asian, Thai",Malad Kan West, ₹125 OFF ABOVE ₹499,4.5,55.0,chinese,0.0,125.0,ABOVE,Yes
Yummy Shawarma,45 mins,"Arabian, Burgers, Kebabs, Snacks, Beverages",Malad Kan West, 50% OFF UPTO ₹250,,45.0,arabian,50.0,250.0,UPTO,Yes
Panda Momos,3.9 • 42 mins,"Asian, Chinese, Tibetan, Beverages, Desserts",Borivali West, ₹175 OFF ABOVE ₹449,3.9,42.0,asian,0.0,175.0,ABOVE,Yes
The Chinese House,59 mins,Chinese,Jog Gor East, ₹250 OFF ABOVE ₹999,,59.0,chinese,0.0,250.0,ABOVE,Yes
London Dairy,3.8 • 36 mins,Punjabi,Dahisar, ,3.8,36.0,punjabi,0.0,0.0,NONE,Yes
Pure Veg Bowls & Meals,3 • 36 mins,"Healthy Food, Pizzas, North Indian, Thalis, Biryani, Chinese",Gorai Road, ,,36.0,healthy food,0.0,0.0,NONE,Yes
The Cake House,3.8 • 39 mins,Desserts,Kandivali West, ,3.8,39.0,desserts,0.0,0.0,NONE,Yes
Wack Waffles & Brownies,4.1 • 38 mins,"Waffle, Bakery, Desserts, Beverages, Ice Cream",Borivali West, ₹175 OFF ABOVE ₹449,4.1,38.0,waffle,0.0,175.0,ABOVE,Yes
Miami Waffle & Jawbreakers,4 • 38 mins,"Waffle, Bakery, Desserts, Bengali",Borivali West, ₹175 OFF ABOVE ₹449,,38.0,waffle,0.0,175.0,ABOVE,Yes
Winners Pizza (Fresh Dough),3.8 • 39 mins,"Pizzas, Italian, Desserts, Beverages",Borivali West, ₹175 OFF ABOVE ₹449,3.8,39.0,pizzas,0.0,175.0,ABOVE,Yes
Green Dot Pizza,4 • 39 mins,"Pizzas, Italian, Desserts, Beverages",Borivali West, ₹175 OFF ABOVE ₹449,,39.0,pizzas,0.0,175.0,ABOVE,Yes
MASKA CHASKA,36 mins,"Chinese, Pizzas",Borivali West, ₹175 OFF ABOVE ₹449,,36.0,chinese,0.0,175.0,ABOVE,Yes
Cake4u,4.3 • 28 mins,Desserts,Kandivali East, ,4.3,28.0,desserts,0.0,0.0,NONE,Yes
Jenny's Brownies,4.4 • 30 mins,"Waffle, Bakery, Ice Cream, Desserts, Beverages",Borivali West, ₹175 OFF ABOVE ₹449,4.4,30.0,waffle,0.0,175.0,ABOVE,Yes
Cafe k2k,38 mins,Indian,Malad East, 20% OFF UPTO ₹100,,38.0,indian,20.0,100.0,UPTO,Yes
Nomad Salad,4.3 • 55 mins,"Salads, Healthy Food",Malad Kan West, ₹175 OFF ABOVE ₹999,4.3,55.0,salads,0.0,175.0,ABOVE,Yes
Food Express,4.4 • 52 mins,"Fast Food, Italian, Snacks",Malad, ,4.4,52.0,fast food,0.0,0.0,NONE,Yes
